segment_idx,b_value,Mc_KS,num_eq,min_time,max_time
0,0.9302643515142356,4.2,1704,1992-01-05 11:38:47,2022-12-18 15:02:03
1,0.902490248286528,4.1,4019,1992-01-22 01:06:56,2022-12-27 18:51:16
2,0.8620687716841745,4.0,3080,1992-01-04 11:25:52,2022-12-13 15:08:50
3,0.8212052896329934,4.2,1801,1992-01-10 22:55:01,2022-12-15 23:48:02
4,0.7756920111345944,4.0,813,1992-01-04 12:00:38,2022-12-14 18:47:46
5,0.9477552180769939,4.0,848,1992-01-18 05:47:45,2022-12-12 18:15:59
6,0.9390045868737993,4.5,2115,1992-01-02 23:14:03,2022-12-27 17:33:44
7,0.7255066714861175,4.0,6,1995-03-18 23:00:59,2019-05-03 05:20:47
85,0.6424089625468828,4.0,43,1994-07-27 10:38:28,2021-10-24 05:11:33
86,0.7199160631016716,4.0,1085,1992-07-24 05:26:56,2022-12-29 13:43:38
87,0.8085741363158125,4.5,576,1992-03-15 01:01:26,2022-10-28 13:23:08
88,0.8895088516450591,4.1,593,1992-01-30 18:13:54,2022-12-16 03:08:49
89,0.854471001914821,4.1,530,1992-01-08 18:23:52,2022-12-18 07:01:51
90,0.8803857843215452,4.0,664,1992-05-27 15:34:38,2022-12-13 14:25:20
91,0.9199009130119156,4.3,643,1992-01-26 08:09:50,2022-12-29 00:48:55
92,0.8548812056404579,4.0,333,1992-01-20 02:43:01,2022-12-17 18:07:52
93,0.9538349304658392,4.0,185,1992-07-09 21:52:02,2022-06-13 21:01:39
94,0.9545183206826756,4.0,235,1992-03-05 23:10:58,2022-12-28 16:47:10
95,0.8059588730462653,4.0,368,1992-01-17 20:55:58,2022-11-14 08:08:25
96,0.8407278830288425,4.0,388,1992-02-14 02:31:50,2022-11-25 07:04:29
97,1.005914143549531,4.2,2969,1992-01-07 11:10:30,2022-12-27 00:09:33
98,0.9823189229018411,4.0,594,1992-01-30 22:35:13,2022-12-12 19:18:08
99,1.0349273312891731,4.0,354,1992-01-12 06:04:04,2022-10-23 22:35:44
